birth_year,count,course_id,created,date
,8537,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150823,2020-07-31
1896,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150827,2020-07-31
1901,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150829,2020-07-31
1904,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150831,2020-07-31
1906,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150832,2020-07-31
1912,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150835,2020-07-31
1916,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150837,2020-07-31
1918,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150838,2020-07-31
1929,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150843,2020-07-31
1940,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150849,2020-07-31
1942,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150850,2020-07-31
1943,2,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150850,2020-07-31
1944,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150851,2020-07-31
1946,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150852,2020-07-31
1947,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150852,2020-07-31
1948,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150853,2020-07-31
1949,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150853,2020-07-31
1950,2,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150854,2020-07-31
1951,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150854,2020-07-31
1952,8,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150855,2020-07-31
1953,4,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150855,2020-07-31
1954,11,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150856,2020-07-31
1955,11,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150856,2020-07-31
1956,13,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150857,2020-07-31
1957,11,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150857,2020-07-31
1958,23,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150858,2020-07-31
1959,24,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150858,2020-07-31
1960,26,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150859,2020-07-31
1961,31,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150859,2020-07-31
1962,26,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150900,2020-07-31
1963,53,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150900,2020-07-31
1964,33,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150901,2020-07-31
1965,61,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150901,2020-07-31
1966,70,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150901,2020-07-31
1967,55,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150902,2020-07-31
1968,90,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150902,2020-07-31
1969,69,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150903,2020-07-31
1970,90,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150816,2020-07-31
1971,107,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150817,2020-07-31
1972,116,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150818,2020-07-31
1973,139,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150819,2020-07-31
1974,147,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150819,2020-07-31
1975,138,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150820,2020-07-31
1976,169,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150821,2020-07-31
1977,170,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150821,2020-07-31
1978,179,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150822,2020-07-31
1979,198,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150823,2020-07-31
1980,198,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150823,2020-07-31
1981,245,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150824,2020-07-31
1982,287,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150824,2020-07-31
1983,285,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150825,2020-07-31
1984,276,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150826,2020-07-31
1985,297,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150826,2020-07-31
1986,313,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150827,2020-07-31
1987,380,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T150827,2020-07-31
