any,attempted_problem,course_id,created,interval_end,interval_start,played_video,posted_forum
2,,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081808,2019-09-02T000000,2019-08-26T000000,,
1,,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081803,2019-09-16T000000,2019-09-09T000000,,
1,,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081803,2019-09-23T000000,2019-09-16T000000,,
3,,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081808,2019-11-04T000000,2019-10-28T000000,,
1,,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081803,2019-12-23T000000,2019-12-16T000000,,
1,,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081803,2020-01-13T000000,2020-01-06T000000,1,
9,3,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-02-10T000000,2020-02-03T000000,2,
8,1,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081820,2020-02-17T000000,2020-02-10T000000,3,
67,4,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-02-24T000000,2020-02-17T000000,11,
160,23,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081816,2020-03-02T000000,2020-02-24T000000,41,8
748,264,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-03-09T000000,2020-03-02T000000,419,66
739,278,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-03-16T000000,2020-03-09T000000,396,42
1200,414,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-03-23T000000,2020-03-16T000000,653,105
1764,664,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-03-30T000000,2020-03-23T000000,958,140
1930,735,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081833,2020-04-06T000000,2020-03-30T000000,1026,153
1733,745,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-04-13T000000,2020-04-06T000000,987,117
1978,837,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-04-20T000000,2020-04-13T000000,1110,130
2050,823,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-04-27T000000,2020-04-20T000000,1124,146
2029,729,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081812,2020-05-04T000000,2020-04-27T000000,1036,111
1859,656,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-05-11T000000,2020-05-04T000000,911,103
1785,683,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-05-18T000000,2020-05-11T000000,884,87
1531,579,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-05-25T000000,2020-05-18T000000,766,67
1299,532,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081833,2020-06-01T000000,2020-05-25T000000,720,81
1174,484,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-06-08T000000,2020-06-01T000000,634,65
1081,443,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-06-15T000000,2020-06-08T000000,577,64
1129,419,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-06-22T000000,2020-06-15T000000,581,41
1003,391,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-06-29T000000,2020-06-22T000000,509,57
1007,364,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081812,2020-07-06T000000,2020-06-29T000000,501,40
998,373,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-07-13T000000,2020-07-06T000000,503,45
876,367,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-07-20T000000,2020-07-13T000000,477,41
850,313,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T081829,2020-07-27T000000,2020-07-20T000000,413,44
