audit,count,course_id,created,credit,cumulative_count,date,honor,masters,professional,verified
4,4,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154113,0,4,2020-10-09,0,0,0,0
4,4,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T160753,0,4,2020-10-10,0,0,0,0
4,4,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154308,0,4,2020-10-11,0,0,0,0
4,4,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T162151,0,4,2020-10-12,0,0,0,0
7,7,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T155705,0,7,2020-10-13,0,0,0,0
7,7,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T153204,0,7,2020-10-14,0,0,0,0
11,11,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T161102,0,11,2020-10-15,0,0,0,0
12,12,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154618,0,12,2020-10-16,0,0,0,0
12,12,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T162507,0,12,2020-10-17,0,0,0,0
12,12,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T160016,0,12,2020-10-18,0,0,0,0
13,13,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T153523,0,13,2020-10-19,0,0,0,0
16,16,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T160212,0,16,2020-10-20,0,0,0,0
17,17,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T153721,0,17,2020-10-21,0,0,0,0
18,18,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T161607,0,18,2020-10-22,0,0,0,0
18,18,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T155123,0,18,2020-10-23,0,0,0,0
19,19,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T152534,0,19,2020-10-24,0,0,0,0
18,18,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T160522,0,19,2020-10-25,0,0,0,0
19,19,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154036,0,20,2020-10-26,0,0,0,0
22,23,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T161918,0,24,2020-10-27,0,0,0,1
22,23,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T160754,0,24,2020-10-28,0,0,0,1
22,23,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154308,0,24,2020-10-29,0,0,0,1
25,26,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T160947,0,27,2020-10-30,0,0,0,1
26,27,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154502,0,28,2020-10-31,0,0,0,1
27,28,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T162113,0,29,2020-11-01,0,0,0,1
27,29,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T160947,0,30,2020-11-02,0,0,0,2
27,29,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154502,0,30,2020-11-03,0,0,0,2
30,32,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T162351,0,33,2020-11-04,0,0,0,2
30,32,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T155859,0,33,2020-11-05,0,0,0,2
31,33,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T162429,0,34,2020-11-06,0,0,0,2
33,35,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T161257,0,36,2020-11-07,0,0,0,2
35,37,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154813,0,38,2020-11-08,0,0,0,2
36,39,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T161336,0,40,2020-11-09,0,0,0,3
36,39,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T155006,0,40,2020-11-10,0,0,0,3
39,43,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T161530,0,44,2020-11-11,0,0,0,4
41,45,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T160407,0,46,2020-11-12,0,0,0,4
42,46,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T153918,0,47,2020-11-13,0,0,0,4
43,47,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T161802,0,48,2020-11-14,0,0,0,4
43,47,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T155317,0,48,2020-11-15,0,0,0,4
46,51,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T161841,0,52,2020-11-16,0,0,0,5
49,54,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T160717,0,56,2020-11-17,0,0,0,5
49,55,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154231,0,58,2020-11-18,0,0,0,6
51,57,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T162113,0,60,2020-11-19,0,0,0,6
52,59,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154425,0,62,2020-11-20,0,0,0,7
55,62,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T162310,0,65,2020-11-21,0,0,0,7
56,63,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T155822,0,66,2020-11-22,0,0,0,7
58,65,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T162352,0,68,2020-11-23,0,0,0,7
59,67,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T161219,0,70,2020-11-24,0,0,0,8
62,70,course-v1:USMx+ENCE607.1x+1T2021,2021-05-24T154736,0,73,2020-11-25,0,0,0,8
