audit,count,course_id,created,credit,cumulative_count,date,honor,masters,professional,verified
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T125052,0,5,2019-08-07,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123929,0,5,2019-08-08,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122745,0,5,2019-08-09,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122445,0,5,2019-08-10,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124856,0,5,2019-08-11,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123722,0,5,2019-08-12,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122557,0,5,2019-08-13,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T125006,0,5,2019-08-14,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123840,0,5,2019-08-15,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122705,0,5,2019-08-16,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T125115,0,5,2019-08-17,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123954,0,5,2019-08-18,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122809,0,5,2019-08-19,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122511,0,5,2019-08-20,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124920,0,5,2019-08-21,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123749,0,5,2019-08-22,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122616,0,5,2019-08-23,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T125029,0,5,2019-08-24,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123904,0,5,2019-08-25,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122725,0,5,2019-08-26,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T125138,0,5,2019-08-27,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124019,0,5,2019-08-28,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122833,0,5,2019-08-29,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122537,0,5,2019-08-30,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124943,0,5,2019-08-31,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123658,0,5,2019-09-01,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122537,0,5,2019-09-02,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T124943,0,5,2019-09-03,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123814,0,5,2019-09-04,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T122640,0,5,2019-09-05,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T125053,0,5,2019-09-06,0,0,0,0
5,5,course-v1:USMx+ENCE607.1x+3T2019,2020-08-01T123930,0,5,2019-09-07,0,0,0,0
