ModuleID,PartID,Correct Answer,First Response Count,Last Response Count,ValueID,AnswerValue,Variant,Problem Display Name,Question
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@00b9970c0e3449a79e18e873709dbff8,00b9970c0e3449a79e18e873709dbff8_2_1,0,179,6,choice_0,Product Owner presents the updated Product Backlog,,Question 1,"According to the lecture, Sprint Planning has three key objectives. Which of the following is not one of them?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@00b9970c0e3449a79e18e873709dbff8,00b9970c0e3449a79e18e873709dbff8_2_1,0,237,4,choice_2,Development Team selects and refines User Stories,,Question 1,"According to the lecture, Sprint Planning has three key objectives. Which of the following is not one of them?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@00b9970c0e3449a79e18e873709dbff8,00b9970c0e3449a79e18e873709dbff8_2_1,0,272,3,choice_3,Development Team is able to commit to the Sprint Backlog,,Question 1,"According to the lecture, Sprint Planning has three key objectives. Which of the following is not one of them?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@00b9970c0e3449a79e18e873709dbff8,00b9970c0e3449a79e18e873709dbff8_2_1,1,1598,2273,choice_1,Scrum Master helps the team understand the Product Backlog,,Question 1,"According to the lecture, Sprint Planning has three key objectives. Which of the following is not one of them?"
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@03250e576bfe4b8aa56417dfba87047e,03250e576bfe4b8aa56417dfba87047e_2_1,0,162,8,choice_3,"Innovative solutions, project management",,Question 1,The 18F case study is an example of the application of _____________ breaking the paper design/re-design cycle that can plague system development using __________ .
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@03250e576bfe4b8aa56417dfba87047e,03250e576bfe4b8aa56417dfba87047e_2_1,0,461,13,choice_2,"Modular development, Lean project management",,Question 1,The 18F case study is an example of the application of _____________ breaking the paper design/re-design cycle that can plague system development using __________ .
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@03250e576bfe4b8aa56417dfba87047e,03250e576bfe4b8aa56417dfba87047e_2_1,0,932,23,choice_0,"Predictive project management, Agile project management",,Question 1,The 18F case study is an example of the application of _____________ breaking the paper design/re-design cycle that can plague system development using __________ .
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@03250e576bfe4b8aa56417dfba87047e,03250e576bfe4b8aa56417dfba87047e_2_1,1,2187,3698,choice_1,"Agile project management, Traditional project management",,Question 1,The 18F case study is an example of the application of _____________ breaking the paper design/re-design cycle that can plague system development using __________ .
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@05cebd92196142cc8b4a62b37be37744,05cebd92196142cc8b4a62b37be37744_2_1,0,45,1,choice_0,Low costs,,Question 1,Which of the following is the major goal of Agile Project Management?
block-v1:USMx+ENCE607.1x+3T2019+type@problem+block@05cebd92196142cc8b4a62b37be37744,05cebd92196142cc8b4a62b37be37744_2_1,0,57,4,choice_3,Problem solution,,Question 1,Which of the following is the major goal of Agile Project Management?
